,0
423,LMNA
424,LMNB1
425,LMO1
426,LMTK3
427,LYL1
428,MAF
429,MAFB
430,MAFF
431,MAFG
432,MAFK
433,MAML1
434,MAPK14
435,MAX
436,MAZ
437,MBD1
438,MBD2
439,MBD3
440,MBD4
441,MBL2
442,MBTD1
443,MBTPS2
444,MCM7
445,ME1
446,ME3
447,MECOM
448,MECP2
449,MED12
450,MED25
451,MED26
452,MEF2A
453,MEF2B
454,MEF2C
455,MEF2D
456,MEIS1
457,MEIS2
458,MEIS3P1
459,MEN1
460,METTL14
461,METTL3
462,MGA
463,MIER1
464,MIER2
465,MIER3
466,MITF
467,MIXL1
468,MLLT1
469,MLLT3
470,MLX
471,MLXIP
472,MNT
473,MORC2
474,MSC
475,MSX1
476,MTA1
477,MTA2
478,MTA3
479,MTOR
480,MUC22
481,MXD1
482,MXD3
483,MXD4
484,MXI1
485,MYB
486,MYBL1
487,MYBL2
488,MYC
489,MYCN
490,MYF5
491,MYH11
492,MYNN
493,MYOCD
494,MYOD1
495,MYOG
496,MYRF
497,MZF1
498,NAB2
499,NANOG
500,NBN
501,NCAPH2
502,NCOA1
503,NCOA2
504,NCOA3
505,NCOA4
506,NCOR1
507,NCOR2
508,NELFA
509,NELFE
510,NEUROD1
511,NEUROG2
512,NFAT5
513,NFATC1
514,NFATC2
515,NFATC3
516,NFE2
517,NFE2L1
518,NFE2L2
519,NFIA
520,NFIB
521,NFIC
522,NFIL3
523,NFKB1
524,NFKB2
525,NFKBIA
526,NFKBIZ
527,NFRKB
528,NFXL1
529,NFYA
530,NFYB
531,NFYC
532,NIPBL
533,NKX2-1
534,NKX2-2
535,NKX2-3
536,NKX2-5
537,NKX3-1
538,NME2
539,NONO
540,NOTCH1
541,NOTCH3
542,NR1H2
543,NR1H3
544,NR1H4
545,NR2C1
546,NR2C2
547,NR2F1
548,NR2F2
549,NR2F6
550,NR3C1
551,NR4A1
552,NR5A2
553,NRF1
554,NSD2
555,NUP153
556,NUP98
557,OGG1
558,OLIG2
559,ONECUT2
560,OR2M7
561,ORC1
562,ORC2
563,OSR2
564,OTX2
565,OVOL2
566,OVOL3
567,PADI2
568,PALB2
569,PARP1
570,PATZ1
571,PAX2
572,PAX3
573,PAX5
574,PAX6
575,PAX7
576,PBX1
577,PBX2
578,PBX3
579,PBX4
580,PBXIP1
581,PCBP1
582,PCBP2
583,PCF11
584,PCGF2
585,PDX1
586,PEX2
587,PGR
588,PHB2
589,PHF2
590,PHF20
591,PHF5A
592,PHF6
593,PHF8
594,PHOX2B
595,PIAS1
596,PITX3
597,PKNOX1
598,PLAG1
599,PMEPA1
600,PML
601,POU2AF1
602,POU2F1
603,POU2F2
604,POU3F2
605,POU5F1
606,PPARD
607,PPARG
608,PRDM1
609,PRDM10
610,PRDM11
611,PRDM12
612,PRDM14
613,PRDM4
614,PRDM5
615,PRDM6
616,PRDM9
617,PRKCQ
618,PRKDC
619,PRMT1
620,PRMT5
621,PROX1
622,PRPF4
623,PSIP1
624,PTBP1
625,PTEN
626,PTTG1
627,PYGO2
628,RAD21
629,RAD51
630,RAG1
631,RAG2
632,RARA
633,RARG
634,RB1
635,RBAK
636,RBBP4
637,RBBP5
638,RBFOX2
639,RBL2
640,RBM14
641,RBM22
642,RBM25
643,RBM34
644,RBM39
645,RBPJ
646,RCOR1
647,RCOR2
648,REL
649,RELA
650,RELB
651,RERE
652,REST
653,RFX1
654,RFX2
655,RFX3
656,RFX5
657,RFXANK
658,RING1
659,RNF2
660,RNGTT
661,RORC
662,RUNX1
663,RUNX1T1
664,RUNX2
665,RUNX3
666,RXRA
667,RXRB
668,RYBP
669,SAFB
670,SAFB2
671,SALL3
672,SALL4
673,SAP130
674,SAP30
675,SATB1
676,SCML2
677,SCRT1
678,SCRT2
679,SETD1A
680,SETD7
681,SETDB1
682,SETX
683,SFMBT1
684,SFPQ
685,SIN3A
686,SIN3B
687,SIPA1
688,SIRT1
689,SIRT3
690,SIRT6
691,SIX1
692,SIX2
693,SIX5
694,SKI
695,SKIL
696,SLC30A9
697,SMAD1
698,SMAD2
699,SMAD3
700,SMAD4
701,SMAD5
702,SMARCA1
703,SMARCA2
704,SMARCA4
705,SMARCA5
706,SMARCB1
707,SMARCC1
708,SMARCC2
709,SMARCE1
710,SMC1A
711,SMC3
712,SMCHD1
713,SMN1
714,SNAI1
715,SNAI2
716,SNAPC4
717,SNIP1
718,SNRNP70
719,SON
720,SOX10
721,SOX13
722,SOX17
723,SOX2
724,SOX3
725,SOX4
726,SOX5
727,SOX6
728,SOX8
729,SOX9
730,SP1
731,SP140
732,SP2
733,SP3
734,SP4
735,SP5
736,SP7
737,SPDEF
738,SPI1
739,SPIB
740,SRC
741,SRCAP
742,SREBF1
743,SREBF2
744,SRF
745,SRPK1
746,SRPK2
747,SRSF1
748,SRSF3
749,SRSF4
750,SRSF7
751,SRSF9
752,SS18
753,SS18/SSX1
754,SSRP1
755,SSU72
756,STAG1
757,STAG2
758,STAT1
759,STAT2
760,STAT3
761,STAT4
762,STAT5A
763,STAT5B
764,STAT6
765,SUMO1
766,SUMO2
767,SUPT16H
768,SUPT20H
769,SUPT5H
770,SUPT6H
771,SUZ12
772,T
773,T-Cell
774,TAF1
775,TAF15
776,TAF3
777,TAF7
778,TAL1
779,TARDBP
780,TAZ
781,TBL1XR1
782,TBP
783,TBPL1
784,TBX1
785,TBX2
786,TBX21
787,TBX3
788,TBX5
789,TCF12
790,TCF21
791,TCF3
792,TCF4
793,TCF7
794,TCF7L1
795,TCF7L2
796,TEAD1
797,TEAD2
798,TEAD3
799,TEAD4
800,TERF1
801,TERF2
802,TET1
803,TET2
804,TET3
805,TFAP2A
806,TFAP2C
807,TFAP4
808,TFDP1
809,TFE3
810,TFEB
811,TGIF2
812,THAP1
813,THAP11
814,THRB
815,TLE3
816,TLX1
817,TOP1
818,TOP2B
819,TP53
820,TP53BP1
821,TP63
822,TP73
823,TRIM22
824,TRIM24
825,TRIM25
826,TRIM28
827,TRPS1
828,TSC22D4
829,TSHZ1
830,TWIST1
831,U2AF1
832,U2AF2
833,UBN1
834,UBP1
835,UBTF
836,UPF1
837,USF1
838,USF2
839,USP7
840,VDR
841,VEZF1
842,WDHD1
843,WDR5
844,WRNIP1
845,WT1
846,XBP1
847,XRCC4
848,XRCC5
849,XRN2
850,YAP1
851,YBX1
852,YY1
853,YY2
854,ZBED1
855,ZBED5
856,ZBTB10
857,ZBTB11
858,ZBTB12
859,ZBTB14
860,ZBTB16
861,ZBTB17
862,ZBTB18
863,ZBTB2
864,ZBTB20
865,ZBTB21
866,ZBTB24
867,ZBTB25
868,ZBTB26
869,ZBTB33
870,ZBTB40
871,ZBTB42
872,ZBTB44
873,ZBTB48
874,ZBTB5
875,ZBTB6
876,ZBTB7A
877,ZBTB7B
878,ZBTB8A
879,ZC3H11A
880,ZC3H8
881,ZEB1
882,ZEB2
883,ZFAT
884,ZFHX2
885,ZFHX3
886,ZFP1
887,ZFP28
888,ZFP3
889,ZFP36
890,ZFP42
891,ZFP64
892,ZFP69B
893,ZFP91
894,ZFX
895,ZGPAT
896,ZHX1
897,ZHX2
898,ZIC2
899,ZIC5
900,ZIM3
901,ZKSCAN1
902,ZKSCAN8
903,ZMIZ1
904,ZMYM3
905,ZMYND8
906,ZNF10
907,ZNF101
908,ZNF121
909,ZNF133
910,ZNF134
911,ZNF140
912,ZNF143
913,ZNF146
914,ZNF148
915,ZNF157
916,ZNF175
917,ZNF18
918,ZNF184
919,ZNF189
920,ZNF197
921,ZNF2
922,ZNF205
923,ZNF207
924,ZNF213
925,ZNF217
926,ZNF22
927,ZNF224
928,ZNF236
929,ZNF24
930,ZNF250
931,ZNF257
932,ZNF260
933,ZNF263
934,ZNF264
935,ZNF266
936,ZNF274
937,ZNF280A
938,ZNF280D
939,ZNF281
940,ZNF282
941,ZNF3
942,ZNF30
943,ZNF316
944,ZNF317
945,ZNF318
946,ZNF320
947,ZNF322
948,ZNF324
949,ZNF329
950,ZNF331
951,ZNF335
952,ZNF33A
953,ZNF34
954,ZNF341
955,ZNF35
956,ZNF350
957,ZNF362
958,ZNF366
959,ZNF37A
960,ZNF382
961,ZNF384
962,ZNF391
963,ZNF394
964,ZNF395
965,ZNF398
966,ZNF407
967,ZNF41
968,ZNF410
969,ZNF423
970,ZNF426
971,ZNF433
972,ZNF436
973,ZNF444
974,ZNF449
975,ZNF467
976,ZNF48
977,ZNF486
978,ZNF490
979,ZNF507
980,ZNF511
981,ZNF512
982,ZNF513
983,ZNF518A
984,ZNF528
985,ZNF529
986,ZNF547
987,ZNF549
988,ZNF554
989,ZNF555
990,ZNF558
991,ZNF561
992,ZNF563
993,ZNF574
994,ZNF577
995,ZNF579
996,ZNF580
